flow,suck,blow,temp
0.10,-0.07,0.07,21.14
0.20,-0.25,0.24,21.21
0.30,-0.51,0.38,21.25
0.40,-1.00,1.01,21.30
0.50,-1.20,1.37,21.35
0.60,-1.69,2.80,21.39
0.70,-3.03,4.72,21.43
0.80,-6.15,7.05,21.46
0.90,-8.87,9.00,21.49
1.00,-11.98,11.50,21.51
1.10,-14.82,14.16,21.52
1.20,-18.05,17.56,21.53
1.30,-22.83,21.94,21.54
1.40,-25.97,24.86,21.56
1.50,-29.63,28.55,21.57
1.60,-34.09,33.02,21.59
1.70,-39.93,38.51,21.60
1.80,-46.55,45.26,21.61
1.90,-55.22,53.81,21.62
