flow,suck,blow,temp
0.10,0.21,-0.18,22.61
0.20,0.83,-0.79,22.65
0.30,1.94,-1.85,22.69
0.40,3.91,-3.52,22.70
0.50,6.58,-5.93,22.70
0.60,10.54,-9.60,22.70
0.70,14.98,-13.66,22.70
0.80,21.86,-20.69,22.70
0.90,27.55,-26.16,22.70
1.00,35.64,-34.11,22.70
1.10,42.31,-40.35,22.70
1.20,51.50,-47.72,22.71
1.30,62.92,-61.40,22.70
1.40,74.41,-70.59,22.71
1.50,86.00,-79.73,22.71
1.60,96.04,-90.90,22.71
1.70,110.92,-104.24,22.71
