flow,suck,blow,temp
0.10,1.18,-1.15,24.09
0.20,2.65,-2.60,24.09
0.30,4.38,-4.22,24.10
0.40,6.43,-6.18,24.10
0.50,8.67,-8.34,24.10
0.60,11.18,-10.78,24.10
0.70,13.68,-12.78,24.10
0.80,16.93,-16.35,24.10
0.90,19.63,-18.89,24.10
1.00,23.44,-22.44,24.10
1.10,26.21,-25.51,24.10
1.20,29.83,-28.92,24.10
1.30,35.25,-35.76,24.10
1.40,39.30,-40.18,24.10
1.50,43.74,-44.83,24.10
1.60,48.25,-50.41,24.10
1.70,54.88,-56.78,24.10
