flow,suck,blow,temp
0.10,0.08,-0.09,23.60
0.20,0.34,-0.37,23.60
0.30,0.84,-0.90,23.62
0.40,1.79,-1.90,23.63
0.50,2.96,-3.17,23.67
0.60,4.54,-5.17,23.69
0.70,6.49,-7.19,23.70
0.80,9.97,-11.13,23.70
0.90,12.75,-14.26,23.70
1.00,16.71,-18.69,23.70
1.10,19.87,-22.39,23.70
1.20,24.45,-27.72,23.70
1.30,29.82,-35.63,23.70
1.40,35.23,-40.59,23.70
1.50,41.37,-46.63,23.70
1.60,46.32,-52.89,23.70
1.70,53.99,-61.32,23.70
