flow,suck,blow,temp
0.10,-0.34,0.36,19.79
0.20,-1.33,1.39,19.87
0.30,-3.01,3.22,19.91
0.40,-5.46,5.91,19.95
0.50,-9.20,10.00,19.98
0.60,-16.34,16.61,20.02
0.70,-23.27,22.95,20.04
0.80,-34.49,32.31,20.06
0.90,-43.48,40.30,20.08
1.00,-54.53,50.26,20.09
1.10,-65.63,60.40,20.10
1.20,-79.30,72.99,20.11
1.30,-98.21,89.90,20.13
1.40,-110.57,100.84,20.13
1.50,-124.87,114.57,20.15
1.60,-135.72,131.10,20.15
1.70,-136.50,136.42,20.16
1.80,-136.50,136.52,20.17
