flow,suck,blow,temp
0.10,0.14,-0.10,21.40
0.20,0.64,-0.68,21.40
0.30,1.66,-1.77,21.41
0.40,3.24,-3.40,21.43
0.50,5.32,-5.77,21.44
0.60,8.52,-9.28,21.47
0.70,11.27,-12.17,21.47
0.80,15.91,-18.05,21.45
0.90,20.08,-22.60,21.47
1.00,25.40,-28.79,21.48
1.10,30.06,-33.64,21.46
1.20,35.23,-38.79,21.49
1.30,41.96,-49.27,21.48
1.40,47.96,-55.39,21.48
1.50,53.90,-63.79,21.49
1.60,59.81,-72.44,21.48
1.70,68.94,-83.29,21.48
