flow,suck,blow,temp
0.10,0.02,0.00,23.40
0.20,0.03,-0.03,23.41
0.30,0.03,-0.06,23.43
0.40,0.01,-0.06,23.48
0.50,0.00,-0.14,23.49
0.60,0.05,-0.19,23.49
0.70,-0.02,-0.24,23.50
0.80,-0.08,-0.29,23.50
0.90,-0.11,-0.21,23.50
1.00,-0.16,-0.34,23.49
1.10,-0.24,-0.35,23.50
1.20,-1.25,0.83,23.50
1.30,-0.36,-0.53,23.50
1.40,-0.33,-0.58,23.51
1.50,-0.19,-0.59,23.50
1.60,-0.57,-0.72,23.52
1.70,-0.49,-0.78,23.52
1.80,-0.59,-0.79,23.53
1.90,-0.52,-0.94,23.54
