flow,suck,blow,temp
0.10,1.27,-1.35,24.25
0.20,2.77,-2.85,24.28
0.30,4.55,-4.78,24.29
0.40,6.69,-6.95,24.30
0.50,9.55,-10.26,24.30
0.60,14.14,-14.94,24.30
0.70,18.39,-18.37,24.30
0.80,23.63,-23.91,24.30
0.90,27.99,-27.92,24.31
1.00,34.28,-33.50,24.32
1.10,38.55,-38.09,24.33
1.20,44.25,-42.59,24.32
1.30,51.52,-50.43,24.30
1.40,57.38,-54.79,24.32
1.50,62.63,-59.35,24.30
1.60,68.50,-64.77,24.31
1.70,75.08,-70.69,24.31
1.80,82.42,-77.16,24.30
1.90,91.48,-86.67,24.30
