flow,suck,blow,temp
0.10,0.09,-0.11,22.70
0.20,0.38,-0.39,22.70
0.30,0.92,-0.95,22.71
0.40,1.84,-1.83,22.72
0.50,2.99,-3.07,22.76
0.60,5.29,-4.76,22.80
0.70,8.11,-6.70,22.80
0.80,12.19,-10.29,22.80
0.90,15.66,-13.67,22.80
1.00,20.62,-17.71,22.80
1.10,24.92,-21.73,22.80
1.20,30.50,-25.79,22.80
1.30,37.01,-33.73,22.80
1.40,43.58,-38.43,22.82
1.50,50.92,-44.56,22.81
1.60,57.03,-50.65,22.81
1.70,66.14,-58.28,22.81
