flow,suck,blow,temp
0.10,-0.94,0.90,23.74
0.20,-2.13,2.16,23.78
0.30,-3.65,3.69,23.80
0.40,-5.49,5.54,23.80
0.50,-7.57,7.53,23.80
0.60,-10.34,10.35,23.80
0.70,-12.81,12.54,23.80
0.80,-16.42,16.47,23.80
0.90,-19.43,19.33,23.80
1.00,-23.51,23.62,23.80
1.10,-27.10,27.18,23.79
1.20,-31.47,31.34,23.79
1.30,-37.11,38.23,23.79
1.40,-42.13,42.43,23.75
1.50,-47.29,46.93,23.74
1.60,-52.10,52.44,23.73
1.70,-59.03,58.59,23.72
