flow,suck,blow,temp
0.10,-1.05,1.07,23.10
0.20,-2.53,2.56,23.10
0.30,-4.37,4.47,23.10
0.40,-6.62,6.70,23.10
0.50,-9.08,9.05,23.10
0.60,-12.69,12.76,23.11
0.70,-15.73,15.67,23.12
0.80,-20.31,20.74,23.12
0.90,-24.18,24.56,23.13
1.00,-29.67,30.23,23.14
1.10,-34.02,34.84,23.13
1.20,-39.57,39.82,23.12
1.30,-46.71,48.94,23.12
1.40,-53.60,54.82,23.13
1.50,-59.97,61.08,23.10
1.60,-66.25,67.97,23.14
1.70,-74.66,76.34,23.11
