flow,suck,blow,temp
0.10,1.00,-0.98,24.84
0.20,2.30,-2.26,24.94
0.30,3.75,-3.70,25.00
0.40,5.45,-5.43,25.00
0.50,7.28,-7.25,25.06
0.60,9.68,-9.44,25.09
0.70,11.58,-11.26,25.10
0.80,14.49,-14.46,25.10
0.90,16.86,-16.87,25.10
1.00,20.15,-20.07,25.10
1.10,22.73,-22.91,25.10
1.20,26.18,-26.57,25.10
1.30,30.46,-32.20,25.10
1.40,34.43,-36.16,25.09
1.50,38.85,-40.71,25.10
1.60,42.61,-46.10,25.09
1.70,48.21,-51.99,25.04
