flow,suck,blow,temp
0.10,0.10,-0.10,23.30
0.20,0.35,-0.27,23.31
0.30,0.85,-0.48,23.33
0.40,1.67,-1.08,23.36
0.50,2.79,-1.75,23.37
0.60,4.75,-2.68,23.40
0.70,7.34,-3.81,23.40
0.80,10.69,-6.61,23.40
0.90,13.54,-9.21,23.40
1.00,18.22,-12.60,23.40
1.10,21.84,-14.92,23.40
1.20,26.37,-18.84,23.40
1.30,33.10,-25.51,23.40
1.40,38.66,-28.77,23.40
1.50,44.89,-33.11,23.40
1.60,50.60,-37.51,23.40
1.70,58.68,-43.70,23.40
