flow,suck,blow,temp
0.10,-0.02,0.01,20.02
0.20,-0.05,0.06,20.03
0.30,-0.08,0.11,20.04
0.40,-0.09,0.22,20.05
0.50,-0.24,0.61,20.06
0.60,-0.89,1.55,20.06
0.70,-1.89,2.46,20.07
0.80,-3.40,3.65,20.09
0.90,-4.61,4.67,20.10
1.00,-6.25,5.95,20.10
1.10,-7.58,7.16,20.11
1.20,-9.22,8.72,20.11
1.30,-11.33,10.76,20.12
1.40,-12.72,11.92,20.12
1.50,-14.24,13.56,20.12
1.60,-16.23,15.55,20.12
1.70,-18.71,17.76,20.12
1.80,-21.54,20.53,20.13
1.90,-25.16,24.10,20.14
