flow,suck,blow,temp
0.10,-0.21,0.22,21.31
0.20,-0.80,0.82,21.27
0.30,-1.83,1.95,21.23
0.40,-3.21,3.59,21.19
0.50,-5.45,5.97,21.16
0.60,-9.59,10.24,21.13
0.70,-14.38,14.84,21.11
0.80,-22.48,21.85,21.08
0.90,-28.78,27.83,21.06
1.00,-37.10,35.21,21.04
1.10,-44.56,42.57,21.03
1.20,-53.66,52.09,21.01
1.30,-66.30,64.07,20.99
1.40,-75.00,72.29,20.98
1.50,-84.79,81.76,20.96
1.60,-96.62,93.65,20.95
1.70,-111.19,107.33,20.93
1.80,-127.55,123.74,20.91
1.90,-135.47,135.72,20.89
