flow,suck,blow,temp
0.10,-0.37,0.38,21.13
0.20,-1.35,1.40,21.14
0.30,-3.00,3.26,21.14
0.40,-5.48,6.01,21.13
0.50,-9.21,9.85,21.12
0.60,-16.14,16.19,21.11
0.70,-23.43,22.80,21.10
0.80,-34.74,32.46,21.09
0.90,-43.89,40.63,21.07
1.00,-55.81,51.13,21.05
1.10,-67.58,61.86,21.03
1.20,-81.59,75.09,21.01
1.30,-100.72,92.50,21.00
1.40,-113.59,103.52,20.97
1.50,-128.73,117.70,20.96
1.60,-146.38,135.02,20.94
1.70,-168.76,155.02,20.92
1.80,-195.00,178.81,20.90
1.90,-228.42,212.52,20.88
